sido,gugun,areaNo,gridX,gridY
서울특별시,종로구,1111000000,60,127
서울특별시,중구,1114000000,60,127
서울특별시,용산구,1117000000,60,126
서울특별시,성동구,1120000000,61,127
서울특별시,광진구,1121500000,62,126
서울특별시,동대문구,1123000000,61,127
서울특별시,중랑구,1126000000,62,128
서울특별시,성북구,1129000000,61,127
서울특별시,강북구,1130500000,61,128
서울특별시,도봉구,1132000000,61,129
서울특별시,노원구,1135000000,61,129
서울특별시,은평구,1138000000,59,127
서울특별시,서대문구,1141000000,59,127
서울특별시,마포구,1144000000,59,127
서울특별시,양천구,1147000000,58,126
서울특별시,강서구,1150000000,58,126
서울특별시,구로구,1153000000,58,125
서울특별시,금천구,1154500000,59,124
서울특별시,영등포구,1156000000,58,126
서울특별시,동작구,1159000000,59,125
서울특별시,관악구,1162000000,59,125
서울특별시,서초구,1165000000,61,125
서울특별시,강남구,1168000000,61,126
서울특별시,송파구,1171000000,62,126
서울특별시,강동구,1174000000,62,126
전남광주통합특별시,목포시,1211000000,50,67
전남광주통합특별시,여수시,1213000000,73,66
전남광주통합특별시,순천시,1215000000,70,70
전남광주통합특별시,나주시,1217000000,56,71
전남광주통합특별시,광양시,1219000000,73,70
전남광주통합특별시,동구,1221000000,60,74
전남광주통합특별시,서구,1224000000,59,74
전남광주통합특별시,남구,1227000000,59,73
전남광주통합특별시,북구,1230000000,59,75
전남광주통합특별시,광산구,1233000000,57,74
전남광주통합특별시,담양군,1271000000,61,78
전남광주통합특별시,곡성군,1272000000,66,77
전남광주통합특별시,구례군,1273000000,69,75
전남광주통합특별시,고흥군,1274000000,66,62
전남광주통합특별시,보성군,1275000000,62,66
전남광주통합특별시,화순군,1276000000,61,72
전남광주통합특별시,장흥군,1277000000,59,64
전남광주통합특별시,강진군,1278000000,57,63
전남광주통합특별시,해남군,1279000000,54,61
전남광주통합특별시,영암군,1280000000,56,66
전남광주통합특별시,무안군,1281000000,52,71
전남광주통합특별시,함평군,1282000000,52,72
전남광주통합특별시,영광군,1283000000,52,77
